web-scraper-order,web-scraper-start-url,Title,Date,Rating,Verified,Review
1587556167-4155,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,fit nicely and look good,"Reviewed in the United States on March 4, 2020",5.0 out of 5 stars,Verified Purchase,fit nicely and look good
1587556167-4339,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"comfortable , strong and decorative shoes","Reviewed in the United States on March 10, 2020",4.0 out of 5 stars,Verified Purchase,Unfortunately ! it was about to fit my feet but it is a bit larger ! Thank you
1587556167-4531,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,GREAT !!!,"Reviewed in the United States on October 22, 2019",5.0 out of 5 stars,Verified Purchase,VERY LIGHT AND COMFORTABLE
1587556167-4281,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Solid shoe for walking,"Reviewed in the United States on February 17, 2020",5.0 out of 5 stars,Verified Purchase,Fit great and very comfortable
1587556167-4359,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Style is good for cushion wear only,"Reviewed in the United States on August 21, 2019",4.0 out of 5 stars,Verified Purchase,"Not a running shoes, too hard"
1587556167-4026,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good value and comfort,"Reviewed in the United States on July 26, 2019",5.0 out of 5 stars,Verified Purchase,"Comfy, good price. Love ua shoes"
1587556167-4539,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Satisfied,"Reviewed in the United States on February 3, 2020",5.0 out of 5 stars,Verified Purchase,Shoes work well for working out!
1587556167-3713,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great shoes!,"Reviewed in the United States on January 15, 2020",5.0 out of 5 stars,Verified Purchase,I love these shoes for working out in the gym and everyday wear. I literally wear them everywhere I go and they are my most preferred shoes. I think the price is fairly reasonable too. They fit very well from the first time I tried them on. I'm definitely getting another pair once these are completely worn out.
1587556167-4326,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Best!,"Reviewed in the United States on February 10, 2020",5.0 out of 5 stars,Verified Purchase,These shoes are the best running shoes I’ve purchased.
1587556167-4025,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great!,"Reviewed in the United States on March 24, 2020",5.0 out of 5 stars,Verified Purchase,Wonderful shoes. I have plantar fasciitis and these have great support when I walk.
