web-scraper-order,web-scraper-start-url,Title,Date,Rating,Verified,Review
1587555567-2905,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Hard to get on,"Reviewed in the United States on January 17, 2020",2.0 out of 5 stars,Verified Purchase,Too narrow and hard to get on.
1587555567-2555,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love them,"Reviewed in the United States on January 26, 2020",5.0 out of 5 stars,Verified Purchase,I love these shoes perfect fit. Ordered a size 9 And they fit like a 9
1587555567-1370,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfort,"Reviewed in the United States on November 12, 2019",5.0 out of 5 stars,Verified Purchase,Light and comfortable
1587555567-1080,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Cute!,"Reviewed in the United States on April 8, 2019",5.0 out of 5 stars,Verified Purchase,Love these! They are so lightweight and comfortable. Even cuter in person too.
1587555567-2004,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable,"Reviewed in the United States on January 24, 2020",5.0 out of 5 stars,Verified Purchase,Very comfortable and light weight. Much prefer to get Adidas on Amazon rather than from their website
1587555567-1313,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Love!  Size down,"Reviewed in the United States on March 13, 2020",5.0 out of 5 stars,Verified Purchase,"Super comfy!  I would size 1/2 down. Typically size 8 & was too big, went back for 7 1/2"
1587555567-1429,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfy,"Reviewed in the United States on March 20, 2020",5.0 out of 5 stars,Verified Purchase,I love the look and very comfortable
1587555567-3003,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great quality,"Reviewed in the United States on January 28, 2020",5.0 out of 5 stars,Verified Purchase,Running shoe and it appears to be well made.
1587555567-2593,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Awesome purchase,"Reviewed in the United States on March 11, 2020",5.0 out of 5 stars,Verified Purchase,"So soft!!!! Love them, I’m in health care and always on my feet. These are perfect"
1587555567-1967,https://www.amazon.com/adidas-Womens-Cloudfoam-Pure-Running/product-reviews/B082JRY6M9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,So comfy!,"Reviewed in the United States on January 4, 2020",5.0 out of 5 stars,Verified Purchase,These shoes are great. My husband bought them for me for Christmas. They are so comfortable and fit as expected. You can slip them on and off and they are super cute.
